student_id,date,program,location,score_reading,score_writing,score_mathNoCalc,score_mathCalc
128568,03/04/2018,skills,center,670,53,418,745
128568,03/05/2018,skills,center,692,56,445,764
128576,15/08/2017,intake,NA,431,55,510,456
128576,28/08/2017,refresh,online,434,55,517,458
128576,20/09/2017,tutoring,center,449,57,539,475
128580,13/10/2017,intake,NA,546,33,310,435
128580,22/10/2017,skills,center,554,34,323,433
128580,19/12/2017,tutoring,center,562,34,332,449
128584,07/04/2017,intake,NA,623,41,501,427
128584,23/04/2017,skills,center,629,42,515,443
128584,19/05/2017,tutoring,center,646,44,546,454
128584,05/06/2017,refresh,center,645,44,558,452
128584,08/07/2017,refresh,online,662,46,587,457
128586,22/01/2018,intake,NA,561,54,402,586
128586,08/02/2018,skills,center,583,56,424,614
128586,23/02/2018,skills,center,620,58,452,646
128596,30/01/2018,intake,NA,414,17,349,647
128596,20/02/2018,tutoring,online,433,19,373,676
128613,08/02/2017,intake,NA,512,31,445,514
128613,21/02/2017,tutoring,center,534,32,471,534
128616,07/07/2018,intake,NA,587,39,490,511
128616,24/07/2018,skills,center,607,41,508,521
128628,05/12/2016,intake,NA,605,51,354,676
128628,28/12/2016,skills,center,613,53,367,693
128628,16/01/2017,tutoring,center,621,55,388,716
128637,14/06/2017,intake,NA,674,41,449,557
128637,03/07/2017,tutoring,center,689,42,475,580
128637,08/08/2017,tutoring,center,706,42,485,596
128637,08/10/2017,refresh,online,707,43,499,612
128639,11/07/2018,intake,NA,541,23,552,290
128639,12/08/2018,skills,center,551,23,565,300
128639,14/08/2018,refresh,online,555,24,567,302
128639,23/10/2018,skills,center,573,25,602,315
128639,01/12/2018,skills,center,565,24,612,312
128645,07/09/2017,intake,NA,578,53,318,507
128645,30/09/2017,skills,center,578,55,333,519
128645,11/11/2017,tutoring,center,587,56,350,541
128649,30/08/2017,intake,NA,480,42,344,382
128649,09/09/2017,skills,center,490,43,355,391
128657,17/05/2016,intake,NA,430,39,702,705
128657,04/06/2016,tutoring,center,438,41,740,718
128662,19/06/2017,intake,NA,584,54,440,425
128662,08/07/2017,skills,center,598,55,447,438
128662,18/07/2017,skills,center,619,58,473,457
128663,27/11/2017,intake,NA,661,24,467,585
128663,21/12/2017,skills,center,669,24,486,599
128663,30/12/2017,refresh,online,682,24,490,603
128666,26/03/2016,intake,NA,422,60,648,591
128666,21/04/2016,skills,center,435,62,673,603
128666,12/06/2016,tutoring,center,455,64,705,620
128666,06/08/2016,tutoring,center,472,68,743,639
128674,22/12/2016,intake,NA,617,41,500,512
128674,22/01/2017,skills,center,622,42,513,519
128674,08/02/2017,skills,center,648,43,535,548
128678,18/04/2017,intake,NA,659,24,411,528
128678,19/05/2017,skills,center,675,25,427,543
128684,12/08/2018,intake,NA,721,56,683,317
128684,29/08/2018,refresh,online,723,56,695,319
128684,21/09/2018,skills,center,732,58,727,329
128701,16/11/2017,intake,NA,567,50,546,755
128701,06/12/2017,skills,center,579,52,563,769
128704,14/06/2016,intake,NA,654,43,376,771
128704,26/06/2016,skills,center,666,43,381,793
128706,19/06/2017,intake,NA,457,60,479,634
128706,07/07/2017,skills,center,463,61,496,642
128706,21/08/2017,skills,center,483,64,529,659
128715,16/08/2016,intake,NA,744,22,498,626
128715,29/08/2016,tutoring,center,766,22,516,642
128721,11/03/2017,intake,NA,539,37,398,580
128721,04/04/2017,refresh,online,551,38,409,582
128721,12/05/2017,skills,center,555,39,421,591
128722,26/03/2017,intake,NA,763,38,734,595
128722,15/04/2017,skills,center,775,39,757,603
128725,09/11/2016,intake,NA,452,39,343,112
128725,02/12/2016,skills,center,462,41,360,117
128727,21/01/2016,intake,NA,667,44,596,677
128727,01/02/2016,skills,center,665,45,616,685
128729,14/01/2018,intake,NA,588,41,484,536
128729,14/02/2018,skills,center,602,41,497,553
128729,04/03/2018,tutoring,online,634,44,548,580
128729,27/03/2018,refresh,online,638,44,563,596
128732,30/04/2018,intake,NA,557,69,425,547
128732,08/05/2018,skills,center,571,70,434,550
128733,06/01/2017,intake,NA,598,32,314,477
128733,03/02/2017,skills,center,611,32,320,489
128733,22/03/2017,refresh,online,609,32,326,483
128733,16/04/2017,skills,center,644,33,341,509
128736,01/07/2016,intake,NA,638,56,543,604
128736,14/07/2016,skills,center,645,57,562,625
128737,09/10/2018,intake,NA,563,54,504,600
128737,25/10/2018,skills,center,581,57,526,609
128737,16/11/2018,skills,center,617,60,553,626
128737,24/11/2018,skills,center,611,60,551,628
128739,12/03/2016,intake,NA,698,44,710,510
128739,21/03/2016,skills,center,722,45,728,525
128740,30/04/2017,intake,NA,456,62,654,422
128740,24/05/2017,tutoring,center,465,64,684,429
128740,02/07/2017,skills,center,475,65,714,442
128744,30/10/2018,intake,NA,618,64,563,362
128744,10/11/2018,skills,center,629,66,583,375
128744,04/12/2018,refresh,online,653,69,600,392
128744,19/12/2018,skills,center,699,72,642,418
128754,20/09/2018,intake,NA,601,47,303,250
128754,15/10/2018,tutoring,online,630,49,323,266
128754,27/10/2018,tutoring,center,656,53,353,285
128754,29/12/2018,tutoring,center,705,57,380,311
128755,26/09/2016,intake,NA,763,70,468,477
128755,26/10/2016,skills,center,784,72,478,492
128766,10/05/2016,intake,NA,465,40,651,553
128766,27/05/2016,skills,center,478,41,679,567
128766,22/06/2016,tutoring,center,488,43,708,585
128774,09/05/2018,intake,NA,513,17,266,509
128774,24/05/2018,skills,center,527,17,278,517
128774,21/06/2018,skills,center,547,18,294,539
128774,08/09/2018,skills,center,542,18,295,539
128777,28/01/2016,intake,NA,522,36,550,630
128777,14/02/2016,skills,center,537,37,568,642
128789,20/11/2016,intake,NA,647,37,645,356
128789,21/12/2016,skills,center,653,39,657,363
128789,24/12/2016,refresh,online,666,39,666,367
128789,23/01/2017,refresh,online,671,39,684,375
128789,07/02/2017,refresh,online,702,40,714,379
128793,17/07/2017,intake,NA,649,75,487,793
128793,12/08/2017,skills,center,663,77,506,795
128804,12/10/2016,intake,NA,565,44,599,509
128804,31/10/2016,refresh,center,564,44,607,510
128818,04/08/2016,intake,NA,445,68,682,522
128818,23/08/2016,skills,center,454,69,705,538
128819,12/10/2016,intake,NA,585,49,733,516
128819,06/11/2016,skills,center,602,50,759,529
128819,15/12/2016,skills,center,623,52,786,546
128824,01/07/2017,intake,NA,597,59,296,621
128824,30/07/2017,skills,center,596,61,304,622
128824,05/09/2017,refresh,online,591,61,308,621
128824,31/10/2017,refresh,online,602,61,313,631
128825,20/10/2017,intake,NA,468,43,491,422
128825,14/11/2017,skills,center,483,44,510,440
128833,24/10/2018,intake,NA,632,31,737,664
128833,09/11/2018,refresh,online,645,31,730,669
128836,03/01/2017,intake,NA,716,34,465,562
128836,28/01/2017,skills,center,733,35,480,571
128836,14/03/2017,skills,center,770,37,505,593
128845,02/06/2018,intake,NA,569,46,187,528
128845,25/06/2018,tutoring,online,603,49,199,553
128847,02/11/2018,intake,NA,510,56,587,637
128847,24/11/2018,skills,center,525,57,605,654
128847,24/12/2018,refresh,center,528,58,598,660
128850,24/06/2016,intake,NA,729,58,292,557
128850,17/07/2016,skills,center,737,59,296,563
128852,15/05/2016,intake,NA,686,69,573,542
128852,04/06/2016,skills,center,709,71,603,560
128852,24/06/2016,skills,center,741,75,646,596
128856,09/03/2017,intake,NA,489,61,668,497
128856,03/04/2017,skills,center,504,63,701,520
128856,20/04/2017,skills,center,524,68,744,539
128857,27/11/2018,intake,NA,624,59,538,670
128857,20/12/2018,skills,center,649,62,572,693
128871,15/03/2017,intake,NA,537,62,645,522
128871,10/04/2017,refresh,center,543,61,650,523
128871,21/04/2017,skills,center,548,63,684,546
128871,04/06/2017,skills,center,559,66,724,573
128877,03/08/2017,intake,NA,731,63,396,425
128877,18/08/2017,tutoring,center,744,65,413,445
128877,09/09/2017,refresh,online,741,66,416,456
128881,13/11/2016,intake,NA,560,36,451,474
128881,14/12/2016,refresh,online,569,36,450,473
128886,13/02/2017,intake,NA,583,42,638,638
128886,10/03/2017,tutoring,center,617,44,667,674
128886,14/04/2017,refresh,online,648,44,693,690
128886,03/05/2017,tutoring,center,680,46,734,723
128895,15/04/2016,intake,NA,656,57,714,634
128895,03/05/2016,skills,center,679,60,728,646
128898,09/02/2017,intake,NA,571,60,440,656
128898,25/02/2017,skills,center,593,62,458,670
128898,29/03/2017,skills,center,612,64,480,687
128898,12/05/2017,skills,center,621,65,473,691
128901,12/03/2018,intake,NA,641,66,497,265
128901,05/04/2018,skills,center,650,69,510,275
128901,30/04/2018,tutoring,online,696,73,565,292
128902,19/04/2016,intake,NA,650,61,347,414
128902,12/05/2016,refresh,online,651,60,352,415
128908,27/11/2016,intake,NA,780,31,129,545
128908,05/12/2016,skills,center,800,33,134,560
128909,09/09/2017,intake,NA,450,43,696,607
128909,27/09/2017,skills,center,455,45,714,632
128909,27/10/2017,skills,center,463,47,753,661
128909,13/11/2017,skills,center,466,47,779,669
128910,08/02/2017,intake,NA,455,53,399,697
128910,02/03/2017,skills,center,458,54,412,720
128925,16/02/2017,intake,NA,364,30,545,182
128925,12/03/2017,skills,center,365,31,564,192
128934,29/01/2017,intake,NA,686,74,381,418
128934,23/02/2017,skills,center,699,78,401,438
128934,13/04/2017,skills,center,741,80,431,463
128934,01/05/2017,tutoring,center,763,85,449,487
128936,08/04/2016,intake,NA,634,40,659,574
128936,03/05/2016,skills,center,652,40,694,595
128936,21/05/2016,refresh,online,666,41,703,590
128938,12/02/2018,intake,NA,618,44,262,518
128938,04/03/2018,skills,center,645,45,277,547
128938,07/04/2018,refresh,online,655,45,286,556
128938,15/05/2018,tutoring,online,692,47,321,579
128940,15/06/2016,intake,NA,600,42,636,486
128940,13/07/2016,refresh,online,604,42,648,489
128940,13/08/2016,tutoring,center,607,43,671,509
128940,21/09/2016,tutoring,center,611,45,698,535
128958,09/07/2016,intake,NA,564,48,413,609
128958,31/07/2016,skills,center,574,50,425,623
128963,28/10/2016,intake,NA,505,26,563,419
128963,16/11/2016,tutoring,center,521,27,589,435
128963,12/12/2016,skills,center,532,28,605,452
128964,08/12/2016,intake,NA,527,55,293,539
128964,06/01/2017,refresh,online,530,55,299,542
128983,11/04/2016,intake,NA,500,54,608,589
128983,27/04/2016,skills,center,513,56,627,608
128983,08/06/2016,tutoring,center,526,58,649,625
128983,16/08/2016,skills,center,537,60,674,645
128983,24/08/2016,tutoring,center,546,60,702,668
129007,26/09/2017,intake,NA,720,32,449,678
129007,31/10/2017,skills,center,740,34,477,704
129007,08/11/2017,tutoring,center,759,36,503,729
129017,05/11/2016,intake,NA,434,43,368,587
129017,05/12/2016,skills,center,443,45,377,606
129017,03/01/2017,refresh,online,455,46,387,604
129017,12/01/2017,skills,center,470,48,413,638
129020,23/11/2016,intake,NA,594,50,322,475
129020,17/12/2016,skills,center,615,52,333,493
129024,07/10/2017,intake,NA,511,39,630,426
129024,04/11/2017,skills,center,522,39,637,432
129024,02/12/2017,refresh,online,527,39,638,432
129024,04/02/2018,refresh,online,534,41,649,428
129024,05/03/2018,refresh,online,544,42,659,440
129049,02/02/2018,intake,NA,514,10,409,659
129049,13/03/2018,tutoring,online,537,11,431,685
129051,18/07/2016,intake,NA,513,62,515,441
129051,07/08/2016,refresh,online,521,61,525,447
129060,07/06/2018,intake,NA,795,50,335,314
129060,22/06/2018,refresh,center,791,51,335,318
129073,01/04/2017,intake,NA,502,53,292,394
129073,19/04/2017,refresh,online,505,53,297,399
129073,21/06/2017,skills,center,521,54,310,415
129076,24/01/2016,intake,NA,597,38,646,543
129076,30/01/2016,tutoring,center,606,40,665,564
129076,16/02/2016,tutoring,center,625,41,699,589
129086,01/07/2018,intake,NA,616,52,676,624
129086,25/07/2018,skills,center,620,53,707,653
129086,25/07/2018,tutoring,center,664,57,774,700
129089,25/11/2018,intake,NA,712,38,670,683
129089,06/12/2018,refresh,online,706,39,672,686
129092,11/05/2016,intake,NA,670,54,471,464
129092,23/05/2016,skills,center,675,54,486,469
129092,02/06/2016,refresh,online,677,56,492,477
129092,27/07/2016,refresh,online,695,56,515,484
129092,17/09/2016,refresh,online,712,57,540,496
129093,30/04/2018,intake,NA,642,59,519,615
129093,14/05/2018,skills,center,662,61,544,626
129093,22/05/2018,tutoring,online,689,63,595,656
129093,11/06/2018,skills,center,716,67,623,683
129093,31/07/2018,refresh,online,734,68,635,709
129094,15/03/2016,intake,NA,603,46,217,638
129094,16/04/2016,tutoring,center,624,47,227,641
129094,29/04/2016,skills,center,636,48,234,648
129101,16/09/2018,intake,NA,590,48,326,428
129101,11/10/2018,skills,center,597,48,336,432
129101,24/11/2018,tutoring,online,626,51,369,455
129105,04/01/2017,intake,NA,464,57,301,460
129105,10/01/2017,skills,center,470,58,308,475
129127,09/10/2018,intake,NA,591,71,400,710
129127,20/10/2018,skills,center,597,71,412,729
129138,07/08/2018,intake,NA,524,54,445,312
129138,24/08/2018,skills,center,541,56,462,324
129157,29/06/2017,intake,NA,622,39,435,677
129157,25/07/2017,tutoring,center,644,40,451,702
129157,27/08/2017,tutoring,center,672,43,468,721
129166,24/07/2018,intake,NA,590,58,626,717
129166,12/08/2018,tutoring,online,622,61,656,765
129172,31/10/2018,intake,NA,621,75,178,421
129172,29/11/2018,refresh,center,619,75,180,419
129172,21/12/2018,tutoring,online,652,79,202,439
129172,18/02/2019,tutoring,center,703,83,219,470
129172,22/03/2019,refresh,center,719,84,219,481
129173,11/11/2017,intake,NA,382,28,304,541
129173,04/12/2017,skills,center,396,29,319,565
129183,24/11/2016,intake,NA,590,60,385,571
129183,21/12/2016,skills,center,601,63,391,587
129183,24/12/2016,tutoring,center,611,65,404,603
129187,19/10/2016,intake,NA,585,57,597,753
129187,19/11/2016,refresh,online,581,57,600,757
129188,22/01/2017,intake,NA,522,47,307,511
129188,03/02/2017,tutoring,center,545,48,318,528
129192,29/10/2017,intake,NA,649,55,473,552
129192,17/11/2017,refresh,online,665,55,478,556
129194,09/11/2016,intake,NA,532,36,368,449
129194,21/11/2016,skills,center,539,36,379,461
129197,22/01/2018,intake,NA,426,28,525,575
129197,03/02/2018,skills,center,426,29,544,582
129197,25/02/2018,refresh,online,433,29,555,593
129198,23/04/2016,intake,NA,572,36,607,606
129198,23/05/2016,skills,center,591,38,627,609
129198,20/06/2016,tutoring,center,623,40,659,649
129213,26/04/2017,intake,NA,635,42,284,585
129213,03/05/2017,skills,center,644,43,293,598
129213,14/05/2017,tutoring,center,662,45,306,618
129213,25/06/2017,skills,center,692,47,322,637
129215,22/01/2017,intake,NA,639,56,448,470
129215,21/02/2017,skills,center,646,57,466,482
129215,13/03/2017,skills,center,675,61,499,499
129216,11/09/2018,intake,NA,636,32,406,253
129216,26/09/2018,skills,center,657,32,427,260
129216,06/10/2018,tutoring,online,700,34,470,274
129216,12/10/2018,refresh,center,706,34,472,275
129217,26/01/2018,intake,NA,562,41,448,239
129217,23/02/2018,tutoring,center,601,45,493,259
129217,21/03/2018,skills,center,627,46,514,269
129217,03/04/2018,tutoring,online,653,48,579,287
129217,28/05/2018,tutoring,center,689,52,632,316
129218,08/02/2016,intake,NA,610,39,595,310
129218,05/03/2016,skills,center,631,41,617,325
129218,22/04/2016,skills,center,654,43,653,343
129218,24/04/2016,refresh,online,659,43,669,345
129218,28/06/2016,tutoring,center,674,44,691,355
129222,29/05/2016,intake,NA,644,43,445,500
129222,21/06/2016,skills,center,663,44,459,509
129223,05/01/2017,intake,NA,417,34,331,462
129223,21/01/2017,skills,center,422,35,349,474
129224,10/03/2018,intake,NA,655,23,749,684
129224,30/03/2018,skills,center,660,24,774,703
129226,20/07/2016,intake,NA,646,77,264,625
129226,14/08/2016,skills,center,668,79,279,633
129227,08/03/2018,intake,NA,593,47,595,665
129227,14/04/2018,skills,center,592,49,622,681
129229,18/01/2017,intake,NA,664,60,453,356
129229,13/02/2017,skills,center,688,62,477,365
129232,06/01/2018,intake,NA,647,62,680,680
129232,18/01/2018,refresh,center,646,61,687,698
129236,03/06/2017,intake,NA,485,45,484,538
129236,28/06/2017,skills,center,497,46,505,559
129238,28/02/2016,intake,NA,676,51,269,562
129238,30/03/2016,skills,center,691,52,278,572
129238,03/05/2016,tutoring,center,710,54,289,587
129241,27/04/2018,intake,NA,631,43,265,190
129241,24/05/2018,refresh,center,622,44,269,194
129241,28/06/2018,tutoring,online,658,45,297,205
129241,15/07/2018,tutoring,online,693,48,331,218
129246,24/05/2018,intake,NA,605,33,326,454
129246,18/06/2018,skills,center,623,34,339,469
129248,08/12/2017,intake,NA,603,59,579,538
129248,22/12/2017,skills,center,606,60,605,545
129253,11/01/2016,intake,NA,632,45,596,625
129253,11/02/2016,skills,center,639,46,604,640
129253,22/03/2016,tutoring,center,648,47,626,666
129253,15/04/2016,skills,center,679,49,668,694
129260,12/06/2017,intake,NA,611,41,720,629
129260,08/07/2017,refresh,online,622,40,715,636
129265,28/03/2017,intake,NA,669,48,540,764
129265,15/04/2017,skills,center,692,49,567,793
129268,27/08/2017,intake,NA,633,62,463,593
129268,11/09/2017,skills,center,643,64,482,615
129268,27/09/2017,tutoring,center,657,67,497,638
129271,07/04/2017,intake,NA,595,43,734,757
129271,18/04/2017,refresh,online,604,44,741,765
129271,07/06/2017,skills,center,619,45,776,784
129274,12/07/2018,intake,NA,560,57,692,695
129274,13/08/2018,skills,center,563,58,699,712
129274,31/08/2018,skills,center,584,62,720,748
129277,19/10/2018,intake,NA,502,32,552,558
129277,25/11/2018,tutoring,center,531,35,608,604
129277,25/12/2018,refresh,online,545,36,614,614
129279,06/01/2017,intake,NA,645,48,575,423
129279,04/02/2017,skills,center,655,49,599,430
129279,05/03/2017,skills,center,675,51,642,437
129279,13/04/2017,tutoring,center,688,53,665,450
129280,09/09/2016,intake,NA,734,39,477,639
129280,27/09/2016,tutoring,center,759,41,499,668
129280,09/10/2016,refresh,online,760,40,500,678
129280,13/11/2016,skills,center,769,41,516,690
129291,19/11/2018,intake,NA,584,34,344,215
129291,07/12/2018,tutoring,online,608,36,362,227
129313,28/05/2016,intake,NA,711,53,625,575
129313,20/06/2016,skills,center,732,55,641,588
129321,21/06/2017,intake,NA,703,59,351,427
129321,28/07/2017,skills,center,710,60,368,440
129321,31/08/2017,refresh,online,714,60,372,440
129321,08/10/2017,refresh,center,714,60,375,448
129323,22/11/2017,intake,NA,514,41,435,570
129323,02/12/2017,skills,center,526,42,444,582
129323,19/01/2018,skills,center,552,44,460,599
129333,21/11/2017,intake,NA,578,36,559,736
129333,15/12/2017,skills,center,593,36,578,754
129333,26/01/2018,skills,center,615,37,616,783
129347,15/12/2016,intake,NA,566,53,207,464
129347,30/12/2016,skills,center,579,55,217,473
129363,09/10/2018,intake,NA,569,65,447,452
129363,13/11/2018,skills,center,579,66,464,466
129363,11/12/2018,skills,center,609,69,492,485
129363,13/12/2018,refresh,online,609,70,503,495
129367,27/06/2017,intake,NA,573,51,443,755
129367,19/07/2017,tutoring,center,587,53,463,776
129367,13/09/2017,skills,center,596,54,479,787
129369,21/01/2018,intake,NA,583,66,278,665
129369,02/02/2018,refresh,online,583,67,280,670
129369,11/03/2018,skills,center,596,68,290,676
129369,15/04/2018,tutoring,online,616,72,318,717
129370,10/03/2017,intake,NA,584,59,250,621
129370,29/03/2017,tutoring,center,598,62,261,650
129378,12/03/2016,intake,NA,424,53,603,661
129378,28/03/2016,skills,center,435,55,625,692
129380,23/11/2018,intake,NA,368,53,643,419
129380,04/12/2018,tutoring,online,390,57,681,443
129381,06/12/2017,intake,NA,609,70,476,615
129381,25/12/2017,skills,center,621,71,495,638
129381,26/01/2018,skills,center,648,72,521,673
129383,10/04/2017,intake,NA,696,68,321,363
129383,11/05/2017,skills,center,699,70,336,375
129383,14/05/2017,skills,center,742,74,359,389
129383,19/05/2017,skills,center,752,74,361,393
129390,28/02/2017,intake,NA,552,66,363,582
129390,23/03/2017,skills,center,555,68,384,601
129390,19/04/2017,skills,center,582,72,397,629
129390,11/05/2017,tutoring,center,603,74,425,646
129390,13/05/2017,refresh,online,617,77,436,659
129403,10/06/2018,intake,NA,457,53,511,295
129403,14/07/2018,skills,center,464,54,530,302
129403,28/08/2018,tutoring,online,486,57,593,318
129404,04/10/2018,intake,NA,544,7,731,591
129404,23/10/2018,tutoring,center,578,7,786,622
129408,30/10/2018,intake,NA,638,47,245,601
129408,01/12/2018,tutoring,online,676,50,262,651
129408,20/01/2019,tutoring,online,711,52,291,694
129408,07/02/2019,tutoring,center,764,56,315,745
129412,04/09/2016,intake,NA,725,62,438,674
129412,25/09/2016,skills,center,736,63,454,704
129412,30/09/2016,refresh,center,727,63,458,701
129413,11/09/2018,intake,NA,300,55,544,562
129413,30/09/2018,skills,center,305,56,563,588
129416,21/04/2016,intake,NA,489,65,449,696
129416,21/05/2016,refresh,online,494,65,449,689
129416,20/06/2016,skills,center,496,66,468,716
129425,24/05/2018,intake,NA,699,13,279,723
129425,23/06/2018,skills,center,698,13,288,736
129425,25/07/2018,tutoring,center,730,14,307,790
129427,16/07/2017,intake,NA,686,38,525,367
129427,11/08/2017,refresh,online,697,38,536,369
129427,12/09/2017,tutoring,center,718,39,550,380
129427,06/10/2017,tutoring,center,744,41,583,398
129430,22/05/2017,intake,NA,544,73,461,602
129430,11/06/2017,refresh,online,536,74,472,608
129436,10/09/2018,intake,NA,562,34,552,712
129436,23/09/2018,skills,center,575,34,570,738
129440,15/07/2018,intake,NA,637,42,493,675
129440,02/08/2018,skills,center,657,43,514,702
129446,24/07/2016,intake,NA,620,88,533,608
129446,14/08/2016,tutoring,center,650,92,564,634
129446,09/09/2016,skills,center,675,95,588,653
129446,12/10/2016,tutoring,center,688,99,616,682
129447,26/06/2018,intake,NA,746,38,649,665
129447,16/07/2018,tutoring,center,790,42,702,729
129448,07/06/2017,intake,NA,653,41,677,615
129448,04/07/2017,skills,center,677,42,709,628
129448,29/07/2017,tutoring,center,705,44,754,656
129448,24/09/2017,tutoring,center,724,47,794,678
129453,05/05/2016,intake,NA,606,53,393,397
129453,30/05/2016,skills,center,604,55,409,411
129453,10/07/2016,skills,center,614,56,429,431
129453,01/09/2016,tutoring,center,617,58,451,448
129460,30/11/2016,intake,NA,417,21,513,755
129460,14/12/2016,skills,center,422,22,550,775
129463,16/03/2016,intake,NA,729,58,417,675
129463,04/04/2016,skills,center,738,60,431,691
129463,02/05/2016,tutoring,center,768,62,449,714
129463,21/05/2016,refresh,online,781,63,457,736
129470,28/09/2016,intake,NA,495,32,320,593
129470,24/10/2016,tutoring,center,510,33,334,630
129484,20/08/2018,intake,NA,491,73,428,702
129484,02/09/2018,skills,center,500,74,442,726
129484,18/10/2018,skills,center,515,76,467,739
129500,05/04/2018,intake,NA,707,59,458,412
129500,21/04/2018,skills,center,725,61,479,427
129500,30/04/2018,refresh,online,721,61,486,430
129500,28/05/2018,tutoring,center,777,66,531,462
129503,26/08/2017,intake,NA,641,59,188,646
129503,14/09/2017,skills,center,657,61,194,669
129503,29/09/2017,skills,center,678,64,202,702
129503,15/10/2017,refresh,online,693,66,204,722
129503,29/11/2017,refresh,online,708,68,211,751
129512,26/08/2016,intake,NA,453,30,642,631
129512,15/09/2016,refresh,center,456,30,654,636
129522,27/02/2016,intake,NA,570,65,401,612
129522,17/03/2016,tutoring,center,599,68,418,638
129522,17/04/2016,skills,center,618,70,429,650
129522,30/04/2016,tutoring,center,622,73,443,663
129522,13/05/2016,tutoring,center,636,75,459,685
129536,26/05/2016,intake,NA,644,66,540,510
